Palabra	(Archivo, Cantidad)
passed	(3,2)
unanimously	(3,2)
richard	(3,2)
nixon	(3,2)
organized	(3,3)
inserted	(3,1)
secret	(3,1)
operatives	(3,1)
order	(3,2)(4,1)(1,1)
swiftly	(3,2)
destabilize	(3,1)
us	(3,6)(4,1)(5,2)
financial	(3,3)(1,2)
pressure	(3,1)(1,1)
restricted	(3,2)(1,1)
international	(3,22)(4,1)(1,24)
credit	(3,3)
chilethe	(3,2)
problems	(3,2)
financed	(3,2)
mostly	(3,6)
printing	(3,1)(4,1)
money	(3,2)(4,1)
poor	(3,3)
ratings	(3,1)(4,1)
commercial	(3,2)
simultaneously	(3,1)
media	(3,1)(4,2)
politicians	(3,1)
business	(3,2)
guilds	(3,1)
organizations	(3,1)
accelerate	(3,1)
campaign	(3,2)
domestic	(3,6)(1,3)
economical	(3,1)
destabilization	(3,1)
some	(3,15)(4,6)(1,11)(5,2)
backed	(3,1)
inflation	(3,2)
control	(3,6)(1,3)
26	(3,2)(4,1)(1,1)(5,1)
supreme	(3,3)
court	(3,7)
opposed	(3,1)
denounced	(3,1)
disruption	(3,1)
illegal	(3,1)
constitution	(3,10)
strengthened	(3,2)
pinochets	(3,2)
soon-to-be	(3,1)
seizure	(3,1)
====	(3,6)(4,2)(1,12)
1973???1990	(3,1)
11	(3,3)(1,2)(5,1)
armed	(3,4)
forces	(3,5)(1,1)
bombarded	(3,1)
palace	(3,1)
committed	(3,2)(1,1)
suicide	(3,1)
henry	(3,1)
kissinger	(3,1)
told	(3,1)
coupa	(3,1)
marked	(3,1)(1,1)
rights	(3,5)(4,3)
violations	(3,1)
actively	(3,1)
participated	(3,2)
operation	(3,1)
condor	(3,2)
october	(3,6)(4,3)(1,2)
least	(3,4)(1,2)
72	(3,1)
murdered	(3,1)
caravan	(3,1)
rettig	(3,1)
report	(3,1)
valech	(3,1)
commission	(3,1)
2115	(3,1)
killed	(3,3)
27265	(3,1)
tortured	(3,3)
88	(3,2)
children	(3,2)(4,1)
younger	(3,1)
old	(3,1)(1,1)(5,1)
2011	(3,5)(4,4)
additional	(3,3)(4,1)(1,1)
9800	(3,1)
victims	(3,1)
imprisoned	(3,1)
reasons	(3,3)(1,1)
40018	(3,1)
stadium	(3,1)
filled	(3,1)
detainees	(3,1)
internationally	(3,3)
poet-singer	(3,1)
v??ctor	(3,2)
jara	(3,2)
see	(3,2)
music	(3,9)
dance	(3,4)
below	(3,3)(5,1)
approved	(3,3)(1,1)
controversial	(3,1)
plebiscite	(3,5)
1980	(3,3)(1,1)
eight-year	(3,2)
obtained	(3,2)
several	(3,9)(4,5)(1,2)
hundred	(3,1)
revolutionaries	(3,1)
sandinista	(3,1)
nicaragua	(3,1)
guerrilla	(3,1)
training	(3,2)(4,1)
camps	(3,1)
cuba	(3,2)
eastern	(3,3)(1,2)
europe	(3,3)(4,1)(1,6)
africain	(3,1)
late	(3,4)(4,1)(1,3)
1980s	(3,2)(1,1)
largely	(3,3)
1982	(3,1)
collapse	(3,1)
mass	(3,1)
1983???88	(3,1)
permitted	(3,1)(1,3)
assembly	(3,1)
speech	(3,2)
association	(3,2)(1,35)
union	(3,3)(1,3)
activity	(3,2)
launched	(3,3)(4,3)(1,1)
market-oriented	(3,1)
hern??n	(3,1)
b??chi	(3,1)
minister	(3,2)
finance	(3,2)
moved	(3,1)(1,1)
free	(3,6)(1,8)
market	(3,2)
industry	(3,2)(1,1)
important	(3,4)(1,2)
mineral	(3,4)
resources	(3,4)
opened	(3,2)
competition	(3,2)(1,12)
5	(3,7)(1,2)
denied	(3,1)
second	(3,9)(4,2)(1,4)
56%	(3,1)
44%	(3,2)
chileans	(3,11)
members	(3,3)(1,1)
bicameral	(3,1)
14	(3,2)(4,2)(1,1)
december	(3,7)(4,2)(1,3)
1989	(3,4)
patricio	(3,1)
aylwin	(3,2)
candidate	(3,2)
17	(3,3)(1,1)
parties	(3,7)
concertaci??n	(3,4)
received	(3,3)
55%	(3,3)
served	(3,1)
1994	(3,2)
considered	(3,9)(4,1)(1,4)
transition	(3,1)
21st	(3,1)(1,2)
1993	(3,1)
ruiz-tagle	(3,3)
son	(3,1)
previous	(3,2)(1,1)
victory	(3,1)
58%	(3,1)
2000	(3,3)(4,1)
ricardo	(3,3)
lagos	(3,2)
won	(3,7)(1,2)
unprecedented	(3,1)
joaqu??n	(3,1)
lav??n	(3,1)
rightist	(3,2)
january	(3,4)(4,2)
2006	(3,9)(1,2)
female	(3,1)(1,1)
michelle	(3,2)
bachelet	(3,4)
jeria	(3,1)
sebasti??n	(3,5)
pi??era	(3,5)
renewal	(3,2)
extending	(3,2)(1,1)
governance	(3,1)
four	(3,6)(4,2)(1,9)
four-year	(3,1)
succeeding	(3,1)
limits	(3,2)
re-election	(3,1)
2013	(3,7)(4,1)
expired	(3,1)
march	(3,6)(4,4)
2014	(3,2)(4,1)
resulting	(3,2)
returning	(3,1)
2018	(3,4)(4,3)(1,1)
winning	(3,1)(1,2)
electionon	(3,1)
struck	(3,1)
mw	(3,5)
earthquake	(3,2)
fifth	(3,2)
ever	(3,2)
recorded	(3,2)(1,4)(5,2)
500	(3,1)
died	(3,1)
ensuing	(3,1)
tsunami	(3,1)
lost	(3,1)(1,2)
homes	(3,2)
multiple	(3,1)(4,1)(1,3)
aftershocks	(3,1)
initial	(3,1)
damage	(3,1)
estimates	(3,2)(1,1)
range	(3,8)(1,3)
us5???30	(3,1)
billion	(3,6)(1,3)
around	(3,5)(4,1)(1,4)(5,1)
15%	(3,2)
real	(3,3)
gross	(3,1)
productchile	(3,1)
global	(3,3)(4,1)(1,1)
successful	(3,4)(4,1)(1,1)
rescue	(3,2)
33	(3,3)
trapped	(3,1)
miners	(3,2)
august	(3,2)(4,2)
tunnel	(3,1)
collapsed	(3,1)
mine	(3,2)
atacama	(3,14)
copiap??	(3,1)
trapping	(3,1)
700	(3,1)
meters	(3,4)
2300	(3,1)
ft	(3,1)(1,2)
ground	(3,1)(1,1)
effort	(3,3)
located	(3,9)(1,1)(5,2)
days	(3,1)
later	(3,4)(4,4)(1,2)(5,4)
all	(3,10)(4,1)(1,14)
surface	(3,2)
months	(3,1)(4,1)
13	(3,3)(4,1)(5,1)
24	(3,3)(4,1)(1,2)(5,1)
hours	(3,2)(4,1)
live	(3,1)
television	(3,2)(4,6)(1,4)
world2019???20	(3,1)
protests	(3,2)
series	(3,4)(4,27)
country-wide	(3,1)
rise	(3,4)(1,1)
metros	(3,1)
subway	(3,1)
fare	(3,1)
cost	(3,2)(1,2)
living	(3,3)(5,2)
privatization	(3,2)
prevalent	(3,1)(1,2)
represented	(3,1)(1,1)
signed	(3,7)(5,3)
agreement	(3,1)
call	(3,1)(1,2)
april	(3,3)(1,1)
2020	(3,5)(4,1)
regarding	(3,1)(1,1)
creation	(3,2)(4,1)
postponed	(3,1)
covid-19	(3,2)
pandemic	(3,2)
25	(3,1)(4,1)
voted	(3,1)(1,1)
7828	(3,1)
cent	(3,2)
favor	(3,1)
2172	(3,1)
rejected	(3,3)
voter	(3,1)
turnout	(3,1)
51	(3,2)
percent	(3,2)
convention	(3,8)
16	(3,2)(1,1)
2021on	(3,1)
19	(3,1)(4,1)
leftist	(3,1)
35-year-old	(3,1)
student	(3,1)
protest	(3,1)
leader	(3,2)
gabriel	(3,3)
boric	(3,4)
become	(3,3)(4,1)(1,1)(5,2)
youngest	(3,1)
2022	(3,2)
sworn	(3,1)
succeed	(3,1)
outgoing	(3,1)
sebastian	(3,1)
pinera	(3,1)
borics	(3,1)
female-majority	(3,1)
cabinet	(3,1)
womenon	(3,1)
4	(3,2)(4,1)(5,2)
overwhelmingly	(3,1)
put	(3,1)(1,1)
forward	(3,1)(1,1)
strongly	(3,3)
proved	(3,1)
too	(3,1)(4,1)(1,1)
left-leaning	(3,1)
drafted	(3,1)
jaime	(3,1)
guzm??n	(3,1)
subsequently	(3,2)
via	(3,2)
plebiscite???regarded	(3,1)
highly	(3,3)(1,2)
irregular	(3,1)
observers???in	(3,1)
entered	(3,1)(1,1)
1981	(3,1)
defeat	(3,1)
amended	(3,1)
ease	(3,1)
provisions	(3,2)
amendments	(3,2)
2005	(3,11)(4,2)
law	(3,8)(1,4)
positions	(3,2)(1,6)
appointed	(3,1)(1,2)
senators	(3,7)
life	(3,3)(4,1)(1,1)
granting	(3,1)
authority	(3,2)(1,1)
remove	(3,2)(5,1)
commanders-in-chief	(3,2)
reducing	(3,1)
yearschiles	(3,1)
judiciary	(3,1)
includes	(3,6)(1,1)
appeal	(3,1)
courts	(3,1)
tribunal	(3,2)
june	(3,3)(4,4)(1,1)(5,2)
completed	(3,3)(1,1)
nationwide	(3,1)
overhaul	(3,1)
criminal	(3,1)
justice	(3,1)
replaced	(3,1)(1,1)
inquisitorial	(3,1)
proceedings	(3,1)
adversarial	(3,1)
jurisdictions	(3,1)
elections	(3,3)
binominal	(3,1)
used	(3,3)(4,1)(1,7)(5,1)
promoted	(3,1)(1,5)
establishment	(3,2)
blocs	(3,1)
-concertaci??n	(3,1)
alliance-	(3,1)
expense	(3,1)
exclusion	(3,1)
non-majority	(3,1)
opponents	(3,1)(1,3)
2015	(3,5)(4,1)
moderate	(3,2)
proportional	(3,1)
electoral	(3,1)
since	(3,11)(4,2)(1,12)
allowing	(3,2)(4,1)
entry	(3,1)(4,1)
coalitionsthe	(3,1)
50-seat	(3,1)
senate	(3,1)
155-member	(3,1)
chamber	(3,1)
deputies	(3,9)
serve	(3,1)
eight	(3,3)(1,1)
staggered	(3,1)
every	(3,2)(1,6)
last	(3,6)(4,1)(1,4)(5,1)
congressional	(3,1)
21	(3,2)(4,1)(5,1)
concurrently	(3,1)
140	(3,1)
90	(3,2)(1,1)
miles	(3,2)(5,1)
main	(3,12)(1,3)
existing	(3,2)
coalitions	(3,1)
apruebo	(3,2)
dignidad	(3,2)
approve	(3,1)
dignity	(3,1)
success	(3,2)
primaries	(3,1)
cs	(3,1)
fa	(3,1)(1,8)
winner	(3,1)(1,4)
frente	(3,1)
amplio	(3,1)
broad	(3,1)(1,2)
font	(3,1)
digno	(3,1)
worthy	(3,1)
communist	(3,1)
socialism	(3,2)
constituent	(3,1)
concertation	(3,1)
-which	(3,1)
no	(3,2)(1,3)
option	(3,2)
governed	(3,1)(1,1)
2010-	(3,1)
pact	(3,1)
liberalopposition	(3,1)
vamos	(3,2)
let???s	(3,1)
go	(3,1)(1,3)
center-right	(3,1)
roots	(3,1)
liberal	(3,1)
renovaci??n	(3,1)
nacional	(3,1)
uni??n	(3,1)
dem??crata	(3,1)
independiente	(3,1)
ev??poli	(3,1)
origins	(3,1)
yes	(3,1)
different	(3,5)(4,3)(1,1)(5,1)
names	(3,1)(4,1)(5,1)
2010-2014	(3,1)
2018-2022in	(3,1)
52	(3,1)
37	(3,1)
6	(3,2)(1,1)
third	(3,6)(4,3)
30	(3,1)(5,3)
representation	(3,1)
republican	(3,2)
1	(3,3)(4,3)(1,2)
8	(3,2)(4,1)(1,1)
independents	(3,1)
outside	(3,1)(1,1)
decades	(3,3)(1,1)
always	(3,2)
active	(3,3)(4,1)(1,1)
involvement	(3,1)(1,1)
affairs	(3,1)(1,1)
1837	(3,1)
aggressively	(3,1)
perus	(3,1)
callao	(3,1)
preeminence	(3,1)
routes	(3,1)
short-lived	(3,1)
peru-bolivian	(3,1)
confederation	(3,3)(1,6)
1836???39	(3,1)
dissolved	(3,1)
distributing	(3,1)
further	(3,2)(1,6)
regional	(3,2)(1,1)
adding	(3,1)
considerably	(3,2)
territoryduring	(3,1)
primarily	(3,4)(1,2)
britain	(3,2)(1,1)
formation	(3,4)(1,5)
navy	(3,5)
french	(3,3)(1,1)(5,3)
legal	(3,1)
systems	(3,1)(1,1)
decisive	(3,1)
impact	(3,1)
architecture	(3,4)
turn	(3,2)
prussianson	(3,1)
1945	(3,2)
being	(3,3)(4,3)(1,8)(5,2)
50	(3,1)(1,1)
charter	(3,1)
california	(3,1)
isolated	(3,1)
politically	(3,1)(5,1)
widespread	(3,1)
abusessince	(3,1)
return	(3,2)
participant	(3,1)
arena	(3,1)
two-year	(3,1)
non-permanent	(3,2)
un	(3,6)
security	(3,2)
council	(3,4)
jose	(3,1)
insulza	(3,1)
secretary	(3,1)
re-elected	(3,2)
2009	(3,6)
currently	(3,3)
atomic	(3,1)
energy	(3,11)
agency	(3,2)
iaea	(3,2)
board	(3,2)(1,5)
governors	(3,1)
2007???2008	(3,2)
chair	(3,1)
ambassador	(3,1)
milenko	(3,1)
e	(3,1)
skoknic	(3,1)
agencies	(3,1)
participates	(3,1)
peacekeeping	(3,1)
activities	(3,4)
three-year	(3,1)(1,1)
five	(3,2)(4,1)(1,3)
seats	(3,1)
defense	(3,4)
ministerial	(3,2)
2002	(3,6)(4,3)
apec	(3,2)
summit	(3,2)
meetings	(3,1)(1,1)
2004	(3,6)(4,1)(5,2)
democracies	(3,1)
ibero-american	(3,1)
2007	(3,6)(4,1)(1,1)
associate	(3,1)
mercosur	(3,1)
full	(3,2)(1,2)
player	(3,1)(4,4)(1,18)
issues	(3,1)(1,1)
hemispheric	(3,1)
subject	(3,1)(4,1)
civilian	(3,1)
exercised	(3,1)
forcesthe	(3,1)
commander-in-chief	(3,1)
mart??nez	(3,1)
menanteau	(3,1)
45000	(3,1)
headquarters	(3,3)(1,1)
divisions	(3,2)(1,3)
throughout	(3,4)(1,4)
air	(3,6)(4,1)
brigade	(3,1)
rancagua	(3,1)
special	(3,1)
colina	(3,1)
professional	(3,2)(1,3)
technologically	(3,1)
advanced	(3,2)
americaadmiral	(3,1)
julio	(3,1)
leiva	(3,1)
molina	(3,1)
directs	(3,1)
25000-person	(3,1)
2500	(3,1)
marines	(3,1)
fleet	(3,1)
29	(3,1)(4,1)(5,1)
vessels	(3,1)
only	(3,15)(4,5)(1,12)
operational	(3,2)
combatants	(3,1)
frigates	(3,1)
ships	(3,1)
based	(3,5)(4,3)(1,2)
operates	(3,3)
own	(3,1)(4,4)(1,4)(5,1)
aircraft	(3,2)
transport	(3,3)
patrol	(3,1)
fighter	(3,1)
bomber	(3,1)
submarines	(3,1)
talcahuanoair	(3,1)
four-star	(3,1)
rojas	(3,2)
??vila	(3,1)
heads	(3,1)
12500-strong	(3,1)
assets	(3,1)
distributed	(3,1)(4,2)
brigades	(3,1)
headquartered	(3,1)
iquique	(3,4)
puerto	(3,7)
montt	(3,4)
punta	(3,4)
arenas	(3,4)
airbase	(3,1)
george	(3,1)
delivery	(3,2)
final	(3,3)(1,9)
f-16s	(3,3)
purchased	(3,2)
debate	(3,1)
refusal	(3,1)
sell	(3,1)(4,1)
reconditioned	(3,1)
block	(3,2)(4,2)
netherlands	(3,1)
dutchafter	(3,1)
police	(3,3)
carabineros	(3,1)
ministry	(3,5)
placed	(3,1)(1,4)(5,1)
interior	(3,1)
nominal	(3,3)
gen	(3,1)
gustavo	(3,1)
gonz??lez	(3,3)
jure	(3,1)
head	(3,1)(1,1)
40964	(3,1)
women	(3,2)(1,10)
responsible	(3,2)(1,4)
enforcement	(3,1)
traffic	(3,2)
management	(3,2)(1,1)
narcotics	(3,1)
suppression	(3,1)
counter-terrorism	(3,1)
chilein	(3,1)
prohibition	(3,1)
nuclear	(3,1)
weapons	(3,1)
administrative	(3,2)(1,1)
1978	(3,1)
administratively	(3,1)
divided	(3,4)(1,1)
1979	(3,2)
subdivided	(3,1)(1,1)
provinces	(3,3)
communes	(3,1)
56	(3,2)
348	(3,1)
communeseach	(3,1)
designated	(3,1)
numeral	(3,1)
assigned	(3,1)(5,1)
except	(3,3)(1,2)
metropolitan	(3,1)
arica	(3,4)
parinacota	(3,2)
xv	(3,1)
los	(3,9)(1,2)
r??os	(3,3)
xiv	(3,1)
??uble	(3,1)
xvi	(3,2)
numbering	(3,1)
lose	(3,1)
original	(3,1)(4,11)(1,3)(5,1)
symbols	(3,1)
flower	(3,2)
copihue	(3,2)
lapageria	(3,1)
rosea	(3,1)
bellflower	(3,1)
grows	(3,1)
woods	(3,1)
coat	(3,1)
depicts	(3,1)
animals	(3,2)
vultur	(3,1)
gryphus	(3,1)
lives	(3,3)
huemul	(3,1)
hippocamelus	(3,1)
bisulcus	(3,1)
endangered	(3,1)
white	(3,10)
tail	(3,1)
deer	(3,2)
legend	(3,1)
por	(3,1)
la	(3,9)(1,6)
raz??n	(3,1)
fuerza	(3,1)
reason	(3,1)(1,1)
flag	(3,8)
consists	(3,5)(1,4)
equal	(3,1)(1,4)
horizontal	(3,1)(1,1)
bands	(3,2)
top	(3,3)(4,1)(1,7)
red	(3,3)(1,8)
blue	(3,2)
height	(3,6)
hoist-side	(3,1)
bears	(3,1)
five-pointed	(3,1)
star	(3,1)(1,2)
center	(3,6)
representing	(3,2)
guide	(3,1)
progress	(3,1)(4,2)(1,1)
honor	(3,2)
symbolizes	(3,1)
sky	(3,1)
snow-covered	(3,1)
stands	(3,1)
blood	(3,2)
spilled	(3,1)
achieve	(3,1)
texas	(3,1)
like	(3,3)(4,1)(1,1)
texan	(3,1)
modeled	(3,1)
geography	(3,4)
cone	(3,1)
side	(3,1)(1,1)
stretches	(3,1)
4300	(3,2)
km	(3,18)
2670	(3,1)
350	(3,1)
217	(3,1)
widest	(3,1)
64	(3,1)
40	(3,2)
narrowest	(3,2)
average	(3,2)(1,1)
width	(3,1)(1,2)
109	(3,1)
encompasses	(3,2)
remarkable	(3,1)
climates	(3,2)
landscapes	(3,1)
contains	(3,2)
756950	(3,1)
292260	(3,1)
situated	(3,2)
ring	(3,2)
fire	(3,2)
excluding	(3,1)(1,2)
claim	(3,3)
lies	(3,1)
latitudes	(3,1)
17??	(3,1)
56??s	(3,1)
longitudes	(3,1)
66??	(3,1)
75??w	(3,1)
north-south	(3,1)
considers	(3,1)
mainland	(3,2)
unique	(3,2)
narrowness	(3,1)
north???south	(3,1)
brazil	(3,5)
russia	(3,1)(1,1)
factor	(3,1)
10	(3,3)(4,1)
km2	(3,1)
latter	(3,1)(4,1)
suspended	(3,1)
signatory	(3,1)
worlds	(3,5)(1,5)
geographically	(3,1)
mainlandchile	(3,1)
sala	(3,1)
easternmost	(3,1)
polynesia	(3,1)
1888	(3,1)(1,1)
600	(3,1)
370	(3,1)
controlled	(3,1)
temporarily	(3,1)
fishermen	(3,1)
ambrosio	(3,1)
felix	(3,1)
notable	(3,1)(1,1)(5,1)
extend	(3,2)
waters	(3,3)
coast	(3,5)(1,1)
oceanthe	(3,1)
great	(3,3)(1,3)(5,1)
wealth	(3,2)
nitrates	(3,1)
dominates	(3,1)
historical	(3,5)(1,1)(5,1)
integrated	(3,2)
rich	(3,3)
forests	(3,2)
grazing	(3,1)
lands	(3,2)(5,2)
features	(3,1)
string	(3,1)
volcanoes	(3,2)
lakes	(3,5)
labyrinth	(3,1)
fjords	(3,2)
inlets	(3,1)
canals	(3,1)
twisting	(3,1)
peninsulas	(3,1)
climate	(3,5)
diverse	(3,1)
ranges	(3,5)
driest	(3,1)
north???the	(3,1)
desert???through	(3,1)
mediterranean	(3,1)
humid	(3,2)
subtropical	(3,1)
oceanic	(3,1)
alpine	(3,1)
tundra	(3,1)
glaciers	(3,3)
k??ppen	(3,1)
hosts	(3,1)
climatic	(3,1)
subtypes	(3,1)
seasons	(3,1)
summer	(3,8)(4,1)(1,1)
autumn	(3,1)
winter	(3,2)
spring	(3,1)(4,1)
biodiversity	(3,1)
flora	(3,7)
fauna	(3,3)
characterized	(3,3)
degree	(3,2)
endemism	(3,1)
particular	(3,2)(1,1)
continental	(3,3)(1,7)
barriers	(3,1)
isolation	(3,3)
add	(3,1)(1,1)
enormous	(3,1)
length	(3,3)(1,2)
2672	(3,1)
results	(3,5)(1,2)
wide	(3,4)(1,1)
environments	(3,1)
can	(3,3)(4,4)(1,6)
three	(3,4)(4,5)(1,5)
zones	(3,2)
species	(3,9)
compared	(3,2)
northernmost	(3,1)
barren	(3,1)
vegetation	(3,1)
approaching	(3,1)
slopes	(3,1)
scattered	(3,2)
tola	(3,1)
brush	(3,1)
grasses	(3,1)
cacti	(3,1)
hardy	(3,1)
espinos	(3,1)
pine	(3,1)
beeches	(3,2)
bell-shaped	(3,1)
flowerin	(3,1)
biob??o	(3,1)
heavy	(3,3)(1,1)
precipitation	(3,1)
produced	(3,2)(4,4)(1,2)
dense	(3,1)
laurels	(3,1)
magnolias	(3,1)
conifers	(3,1)
smaller	(3,1)(1,2)
stunted	(3,1)
temperatures	(3,1)
winds	(3,1)
extreme	(3,2)
preclude	(3,1)
forestation	(3,1)
grassland	(3,1)
atlantic	(3,1)
patagonia	(3,3)
distinct	(3,1)(1,2)(5,1)
neighboring	(3,2)
indicating	(3,1)
andean	(3,6)
barrier	(3,1)
existed	(3,1)(1,1)
bridges	(3,1)
cretaceous	(3,1)
ice	(3,2)
ages	(3,2)
plants	(3,1)
migrate	(3,1)
forest	(3,2)
landscape	(3,2)
integrity	(3,1)
score	(3,1)(4,2)(1,6)
737/10	(3,1)
ranking	(3,2)
43rd	(3,1)
globally	(3,1)(1,1)
172	(3,1)
countriesjust	(3,1)
fungi	(3,2)
complete	(3,1)
true	(3,2)
fungal	(3,2)
occurring	(3,1)
likely	(3,1)
higher	(3,4)(1,1)
generally	(3,4)(1,4)
accepted	(3,1)
estimate	(3,2)
7	(3,1)(4,1)(5,1)
worldwide	(3,3)(4,3)(1,1)
so	(3,4)(1,3)
amount	(3,2)
available	(3,1)
information	(3,1)
still	(3,3)(1,4)
endemic	(3,1)
1995	(3,2)
tentatively	(3,1)
identified	(3,1)
possible	(3,1)(4,1)
endemics	(3,1)
countrychiles	(3,1)
geographical	(3,2)
faunal	(3,1)
distinctive	(3,1)
larger	(3,3)
mammals	(3,1)
puma	(3,1)
cougar	(3,1)
llama-like	(3,1)
guanaco	(3,1)
fox-like	(3,1)
chilla	(3,1)
types	(3,2)(4,1)(1,1)
marsupials	(3,1)
pudu	(3,1)
foundthere	(3,1)
birds	(3,1)
absent	(3,1)
freshwater	(3,1)
fish	(3,3)
trout	(3,1)
introduced	(3,2)(4,1)(1,3)
owing	(3,3)
vicinity	(3,1)
humboldt	(3,1)
abound	(3,1)
forms	(3,3)(4,2)(1,2)
marine	(3,2)
waterfowl	(3,1)
penguins	(3,1)
whales	(3,1)
abundant	(3,1)
seals	(3,1)
topography	(3,2)
along	(3,3)(4,1)(1,1)(5,2)
seismic	(3,1)
volcanic	(3,3)
zone	(3,2)
subduction	(3,1)
nazca	(3,3)
plates	(3,2)
plate	(3,3)
paleozoic	(3,1)
251	(3,1)
belonged	(3,1)
gondwana	(3,1)
just	(3,2)(5,1)
accumulated	(3,1)
sediments	(3,3)
mesozoic	(3,1)
66	(3,1)
collision	(3,1)
would	(3,3)(4,18)(1,2)(5,1)
shaped	(3,1)
millions	(3,1)(1,1)
folding	(3,1)
rocks	(3,1)
forming	(3,1)
relief	(3,3)(1,2)
crosses	(3,1)
longitudinally	(3,1)
flanked	(3,1)
mountain	(3,4)
80%	(3,1)
east-natural	(3,1)
west-minor	(3,1)
highest	(3,7)(1,1)
peak	(3,1)
nevado	(3,2)
ojos	(3,1)
salado	(3,1)
68913	(3,1)
m	(3,3)(1,10)
volcano	(3,1)
vicu??a	(3,2)
mackenna	(3,2)
3114	(3,1)
sierra	(3,1)
plains	(3,5)
variable	(3,1)
allow	(3,2)(1,4)
big	(3,1)
ports	(3,2)
encompass	(3,1)
patagonian	(3,2)
steppes	(3,1)
plateaus	(3,1)
surrounded	(3,1)
altiplano	(3,4)
puna	(3,1)
parallel	(3,3)(4,1)
26??	(3,1)
s	(3,1)
covering	(3,1)
presence	(3,1)
aridest	(3,1)
fragmented	(3,1)
streams	(3,2)
originate	(3,1)
pampas	(3,1)
tamarugal	(3,1)
split	(3,1)
arm	(3,1)
runs	(3,1)(1,1)
altitude	(3,2)
allowed	(3,2)(1,4)
salt	(3,2)
structures	(3,2)
salar	(3,1)
gradual	(3,1)
accumulation	(3,2)
norte	(3,2)
chico	(3,1)
begin	(3,2)(4,2)(1,1)
decrease	(3,2)
closer	(3,2)
reaching	(3,1)
away	(3,1)(1,3)
illapel	(3,1)
intersect	(3,1)
virtually	(3,1)
intermediate	(3,4)
existence	(3,1)
rivers	(3,3)
flowing	(3,2)
allows	(3,2)
transverse	(3,1)
recent	(3,3)(1,2)
times	(3,2)(1,2)
populated	(3,1)
cities	(3,5)
maintain	(3,1)
altitudes	(3,2)
above	(3,3)(1,1)(5,2)
6000m	(3,1)
descend	(3,1)
4000	(3,1)
reappears	(3,2)
sediment	(3,1)
cordillera	(3,2)
costa	(3,2)
nahuelbuta	(3,2)
glacial	(3,1)
create	(3,2)(1,1)
frontera	(3,1)
extends	(3,1)
reloncavi	(3,1)
41??s	(3,1)
glaciation	(3,1)
covered	(3,1)(4,1)
eroded	(3,1)
sinks	(3,1)
archipelagos	(3,1)
chonos	(3,1)
disappearing	(3,1)
taitao	(3,1)
peninsula	(3,2)
47??s	(3,1)
loses	(3,1)
erosion	(3,1)
caused	(3,2)
continent	(3,2)
tierra	(3,1)
fuego	(3,1)
flat	(3,1)
cover	(3,1)
previously	(3,1)
begins	(3,2)
break	(3,1)(1,2)
causing	(3,1)
myriad	(3,1)
islets	(3,1)
disappear	(3,1)
sinking	(3,1)
reappearing	(3,1)
antilles	(3,1)
arc	(3,1)
antartandes	(3,1)
lying	(3,1)
meridians	(3,1)
53??w	(3,1)
90??w	(3,1)
collectively	(3,1)(1,1)
insular	(3,2)
we	(3,1)
highlight	(3,1)
fernandez	(3,1)
fracture	(3,1)
hydrography	(3,1)
characteristics	(3,2)
numerous	(3,1)(1,1)(5,1)
short	(3,2)(4,3)
low	(3,2)(1,2)
flow	(3,2)
rates	(3,2)
commonly	(3,1)(1,3)
grande	(3,1)
endorheic	(3,1)
character	(3,1)
loa	(3,1)
440	(3,1)
wetland	(3,1)
generate	(3,1)
chungar??	(3,2)
lake	(3,4)
4500	(3,1)
level	(3,1)(4,1)(1,6)
lauca	(3,1)
shared	(3,1)
lluta	(3,1)
center-north	(3,1)
importance	(3,2)
noteworthy	(3,1)
elqui	(3,1)
75	(3,1)
142	(3,1)
maipo	(3,1)
250	(3,1)(1,1)(5,1)
tributary	(3,1)
110	(3,1)
240	(3,1)(1,1)
mainly	(3,4)(1,1)
snowmelt	(3,1)
rains	(3,1)
artificial	(3,1)
rapel	(3,1)
colbun	(3,1)
lagoon	(3,2)
laja	(3,1)
demographics	(3,1)
reported	(3,6)(1,1)
17574003	(3,1)
decreasing	(3,1)
declining	(3,1)
birth	(3,1)
2050	(3,1)
expected	(3,1)
approximately	(3,3)(4,1)(1,1)
202	(3,1)
85%	(3,1)
urban	(3,2)
40%	(3,2)
agglomerations	(3,1)
861000	(3,1)
824000	(3,1)
ancestry	(3,3)
ethnicity	(3,1)
mexican	(3,1)
professor	(3,1)
lizcano	(3,1)
university	(3,4)(1,2)
mexico	(3,1)
527%	(3,1)
393%	(3,1)
mestizo	(3,4)
8%	(3,3)
amerindian	(3,5)
1984	(3,1)(1,1)
sociogenetic	(3,1)
reference	(3,1)
framework	(3,1)
health	(3,8)
studies	(3,1)
revista	(3,1)
pediatr??a	(3,1)
determined	(3,2)(1,1)
679%	(3,1)
321%	(3,1)
biological	(3,1)
composition	(3,5)
64%	(3,4)
candela	(3,1)
project	(3,2)
establishes	(3,1)
genetic	(3,5)
52%	(3,1)
genome	(3,1)
coming	(3,3)(4,1)
americans	(3,2)
amerindians	(3,2)
4%	(3,4)
africa	(3,1)(1,2)
traces	(3,1)
african	(3,2)(1,2)
present	(3,3)
half	(3,1)(1,3)
brasilia	(3,1)
contribution	(3,3)
516%	(3,1)
421%	(3,1)
63%	(3,1)
57%	(3,2)
38%	(3,1)
25%	(3,3)
africana	(3,1)
booklet	(3,1)
caucasian	(3,1)
